Team,Runs,Wickets,Fours,Sixes,PowerPlay Runs,PowerPlay Wickets,Mid Over Runs,Last Four Over,Extra Receive,Extra Given,Wickets Taken,Overs,Run Rate,hundred,seventies,fifties,thirties,Caught,bowled,keeper catch,run out,lbw,hit wicket,Innings,Super Over,Against,Ground,Result,DOM
Rajasthan Royals,186,3,17,10,66,1,78,42,5,11,4,17.3,10.75,0,0,1,3,2,,,1,,,2,False,Kings XI Punjab,Abu Dhabi,Won,2020-10-30
Delhi Capitals,110,9,7,3,22,2,65,23,5,1,1,20,5.5,0,0,0,0,3,,2,1,2,,1,False,Mumbai Indians,Dubai,Lost,2020-10-31
Mumbai Indians,111,1,11,3,38,0,36,37,1,5,9,14.2,7.82,0,0,1,0,,1,,,,,2,False,Delhi Capitals,Dubai,Won,2020-10-31
Kolkata Knight Riders,172,5,20,5,48,0,77,47,2,9,4,20,8.6,0,1,0,0,4,1,,,,,1,False,Chennai Super Kings,Dubai,Lost,2020-10-29
Chennai Super Kings,178,4,15,7,44,0,84,50,9,2,5,20,8.9,0,0,1,2,2,2,,,,,2,False,Kolkata Knight Riders,Dubai,Won,2020-10-29
Royal Challengers Bangalore,120,7,9,1,30,2,69,21,11,6,5,20,6.0,0,0,0,1,6,1,,,,,1,False,Sunrisers Hyderabad,Sharjah,Lost,2020-10-31
Sunrisers Hyderabad,121,5,8,7,58,1,24,39,6,11,7,14.1,8.58,0,0,0,1,4,,,,,,2,False,Royal Challengers Bangalore,Sharjah,Won,2020-10-31
Royal Challengers Bangalore,163,5,13,4,53,0,71,39,5,15,10,20,8.15,0,0,2,0,1,1,,2,1,,1,False,Sunrisers Hyderabad,Dubai,Won,2020-09-21
Sunrisers Hyderabad,153,10,14,3,48,1,79,26,15,5,5,19.4,7.89,0,0,1,1,3,5,,2,,,2,False,Royal Challengers Bangalore,Dubai,Lost,2020-09-21
Rajasthan Royals,216,7,9,17,54,1,112,50,9,5,6,20,10.8,0,0,2,0,4,,1,1,1,,1,False,Chennai Super Kings,Sharjah,Won,2020-09-22
Chennai Super Kings,200,6,9,16,53,0,85,62,5,9,7,20,10.0,0,0,1,1,1,1,2,,,,2,False,Rajasthan Royals,Sharjah,Lost,2020-09-22
Kings XI Punjab,206,3,21,7,50,0,82,74,11,9,10,20,10.3,1,0,0,0,2,1,,,,,1,False,Royal Challengers Bangalore,Dubai,Won,2020-09-24
Royal Challengers Bangalore,109,10,10,3,40,3,43,26,9,11,3,17,6.41,0,0,0,1,4,4,,,2,,2,False,Kings XI Punjab,Dubai,Lost,2020-09-24
Mumbai Indians,162,9,15,4,51,2,85,26,5,4,5,20,8.1,0,0,0,2,6,1,2,,,,1,False,Chennai Super Kings,Abu Dhabi,Lost,2020-09-19
Chennai Super Kings,166,5,16,5,37,2,84,45,4,5,9,19.2,8.65,0,0,2,0,2,,,,3,,2,False,Mumbai Indians,Abu Dhabi,Won,2020-09-19
Sunrisers Hyderabad,142,4,8,4,40,1,70,32,7,7,3,20,7.1,0,0,1,2,2,1,,1,,,1,False,Kolkata Knight Riders,Abu Dhabi,Lost,2020-09-26
Kolkata Knight Riders,145,3,14,4,52,2,50,43,7,7,4,18,8.06,0,0,1,1,1,,1,,1,,2,False,Sunrisers Hyderabad,Abu Dhabi,Won,2020-09-26
